date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:18	4901/4901	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803a8-1325-561266bf95481%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/laser.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:18	94648/94648	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:17%20GMT	https://themes.getmotopress.com/villagio/accommodation/sommer-villa-emilia/?lang=de	themes.getmotopress.com/villagio/accommodation/sommer-villa-emilia/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:20	2031/2031	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803ac-7ef-561266bf95869%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/diners.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:21	16174/16174	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803a5-3f2e-561266bf95481%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:21	38596/38596	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:20%20GMT	https://themes.getmotopress.com/villagio/testimonial/joe-doe/?lang=de	themes.getmotopress.com/villagio/testimonial/joe-doe/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:21	39343/39343	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:20%20GMT	https://themes.getmotopress.com/villagio/testimonial/kim-lee/?lang=de	themes.getmotopress.com/villagio/testimonial/kim-lee/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:21	95445/95445	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:20%20GMT	https://themes.getmotopress.com/villagio/accommodation/die-marken-aetna-haus/?lang=de	themes.getmotopress.com/villagio/accommodation/die-marken-aetna-haus/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:22	5879/5879	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803ab-16f7-561266bf95869%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:24	10424/10424	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803b3-28b8-561266bf96039%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:25	4937/4937	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803ad-1349-561266bf95c51%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
